Sl no.,STATE NAME,CONSTITUENCY,latitude,longitude,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,Number of voters,VOTERS TURN OUT (IN %),MARGIN
1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,12.36718,92.924179,Bishnu Pada Ray,GEN,GEN,Bharatiya Janata Party,Lotus,190346,76.15,7812
2,Andhra Pradesh,Adilabad ,19.664062,78.532013,Godam Nagesh,ST,ST,Telangana Rashtra Samithi,Car,1055593,76.15,171290
3,Andhra Pradesh,Amalapuram ,16.57209,82.000854,Dr Pandula Ravindra Babu,SC,SC,Telugu Desam,Bicycle,1025194,71.93,120576
4,Andhra Pradesh,Anakapalli,17.82366,83.20871,Muttamsetti Srinivasa Rao (Avanthi),GEN,GEN,Telugu Desam,Bicycle,1127225,72.69,47932
5,Andhra Pradesh,Anantapur,14.681888,77.600594,J.C. Divakar Reddi,GEN,GEN,Telugu Desam,Bicycle,1034032,69.11,61991
6,Andhra Pradesh,Aruku ,18.3323,82.8756,Kothapalli Geetha,ST,ST,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,1099784,76.09,91398
7,Andhra Pradesh,Bapatla ,15.9039,80.4671,Malyadri Sriram,SC,SC,Telugu Desam,Bicycle,1193548,77.7,32754
8,Andhra Pradesh,Bhongir ,17.4633,79.1097,Dr. Boora Narsaiah Goud,GEN,GEN,Telangana Rashtra Samithi,Car,1624859,51.05,30544
9,Andhra Pradesh,Chelvella,17.3891,77.8367,Konda Vishweshwar Reddy,GEN,GEN,Telangana Rashtra Samithi,Car,1004763,53.06,73023
10,Andhra Pradesh,Chittoor ,13.2097,78.9288,Naramalli Sivaprasad,SC,SC,Telugu Desam,Bicycle,971770,53.3,44138
11,Andhra Pradesh,Eluru ,17.2636,82.1598,Maganti Venkateswara Rao (Babu),GEN,GEN,Telugu Desam,Bicycle,1322312,60.51,101926
12,Andhra Pradesh,Guntur,16.2736,80.4994,Jayadev Galla,GEN,GEN,Telugu Desam,Bicycle,1015520,71.58,69111
13,Andhra Pradesh,Hindupur,14.156,77.7452,Kristappa Nimmala,GEN,GEN,Telugu Desam,Bicycle,1116159,75.55,97325
14,Andhra Pradesh,Hyderabad,17.3465,78.4866,Asaduddin Owaisi,GEN,GEN,All India Majlis-E-Ittehadul Muslimeen,Kite,1191667,79.75,202454
15,Andhra Pradesh,Kadapa,14.4701,78.8298,Y.S. Avinash Reddy,GEN,GEN,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,1212738,81.27,190323
16,Andhra Pradesh,Kakinada,17.2375,82.3018,Thota Narasimham,GEN,GEN,Telugu Desam,Bicycle,1176653,76.52,3431
17,Andhra Pradesh,Karimnagar ,18.4386,79.1288,Vinod Kumar Boinapally,GEN,GEN,Telangana Rashtra Samithi,Car,1126618,81.21,204652
18,Andhra Pradesh,Khammam ,17.3498,80.5438,Ponguleti  Srinivasa Reddy,GEN,GEN,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,1188875,82.55,12204
19,Andhra Pradesh,Kurnool,15.6031,77.3784,Butta Renuka,GEN,GEN,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,913838,71.82,44131
20,Andhra Pradesh,Machilipatnam ,16.2521,81.0755,Konakalla Narayana Rao,GEN,GEN,Telugu Desam,Bicycle,1054640,74.6,81057
21,Andhra Pradesh,Mahabubabad  ,17.9928,80.2767,Prof. Azmeera Seetaram Naik,ST,ST,Telangana Rashtra Samithi,Car,1125615,80.19,34992
22,Andhra Pradesh,Mahbubnagar,16.6463,77.8367,Ap Jithender Reddy,GEN,GEN,Telangana Rashtra Samithi,Car,1163582,67.53,2590
23,Andhra Pradesh,Malkajgiri,17.5698,78.5207,Ch.Malla Reddy,GEN,GEN,Telugu Desam,Bicycle,1149326,82.01,28166
24,Andhra Pradesh,Medak,17.9816,78.3842,Kalvakuntla Chandrasekhar Rao,GEN,GEN,Telangana Rashtra Samithi,Car,1101730,77.68,397029
25,Andhra Pradesh,Nagarkurnool,16.3068,78.3842,Yellaiah Nandi,SC,SC,Indian National Congress,Hand,1121986,82.63,16676
26,Andhra Pradesh,Nalgonda,16.9228,79.4704,Gutha Sukhender Reddy,GEN,GEN,Indian National Congress,Hand,1156626,81.38,193156
27,Andhra Pradesh,Nandyal,15.664,78.4752,S.P.Y Reddy,GEN,GEN,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,1089102,82.19,105766
28,Andhra Pradesh,Narasaraopet,16.382,79.8297,Sambasiva Rao Rayapati,GEN,GEN,Telugu Desam,Bicycle,1203236,84.27,35280
