timestamp (in seconds),activityID,heartrate during activity (bpm),normal HR (bpm),subID,Body Temperature (Celsius),Acceleration (x axis) in m/s2,Acceleration (y axis) in m/s2,Acceleration (z axis) in m/s2,Gyroscope (x axis) in rad/s,Gyroscope (y axis) in rad/s,Gyroscope (z axis) in rad/s,Magnetometer (x axis) in μT,Magnetometer (y axis) in μT,Magnetometer (z axis) in μT
6.0,0,121.0,86,104,31.875,-1.6585900000000002,5.6725400000000015,7.693589999999999,-0.00892856,-0.0103005,-0.0160876,22.3873,-7.66343,-46.4195
7.0,0,121.0,86,104,31.875,-1.50503,5.6341,7.772989999999999,-0.0367192,0.0134725,-0.015683100000000002,22.3889,-7.5396899999999984,-46.8139
8.0,0,121.0,86,104,31.9375,-1.57847,5.5594800000000015,7.84912,0.032371,-0.0308084,-0.0279086,21.7794,-8.25191,-47.0709
9.0,0,121.0,86,104,32.0,-1.54416,5.82342,7.6947899999999985,-0.0453909,0.0236171,-0.00627733,22.035,-9.00986,-46.6731
10.0,0,121.0,86,104,32.0,-1.55085,5.82174,7.5022600000000015,0.00419809,0.0100506,0.015657900000000002,22.91,-9.30485,-46.8043
11.0,0,121.0,86,104,32.0,-1.6953200000000002,6.01394,7.6534,-0.0195794,0.003483,0.00510817,22.1661,-9.76118,-46.2751
12.0,0,121.0,86,104,32.0625,-1.62536,5.974080000000002,7.50063,0.031804,-0.00774991,0.0196218,22.0294,-8.76119,-46.4121
13.0,0,121.0,86,104,32.0625,-1.42865,5.747330000000002,7.77375,0.00197355,-0.0422585,0.000570655,21.6569,-8.86532,-46.2795
14.0,0,121.0,86,104,32.0625,-1.35335,6.08753,7.69676,0.00939361,-0.00180983,-0.0230946,21.6608,-8.9898,-46.5412
15.0,0,121.0,86,104,32.0625,-1.50744,6.05009,7.6176,0.0559641,-0.0560488,0.0116934,21.6804,-10.356,-46.6642
16.0,0,121.0,86,104,32.0625,-1.28578,5.895580000000002,7.50598,-0.0833808,-0.06707060000000001,0.00450409,21.4193,-9.34938,-46.801
17.0,0,121.0,86,104,32.0625,-1.36297,5.8578800000000015,7.466469999999998,-0.0106244,-0.0324645,-0.000113309,21.4249,-9.59804,-47.062
18.0,0,121.0,86,104,32.125,-1.31689,5.89754,7.69795,0.021527,0.0357721,-0.0325857,21.6686,-9.48669,-46.6694
19.0,0,121.0,86,104,32.125,0.498849,10.276,2.51458,2.30862,-1.83526,2.37934,2.96909,-26.6031,-41.4097
20.0,0,121.0,86,104,32.125,-4.8648099999999985,7.818460000000001,3.0198400000000003,0.05780030000000001,0.114176,-0.0329233,31.5545,-23.0352,-32.8279
21.0,0,121.0,86,104,32.125,-5.10144,7.93134,2.70801,-0.0294936,-0.0339215,-0.010434,32.0329,-21.5716,-32.969
22.0,0,121.0,86,104,32.125,-5.35499,7.40592,3.12935,0.04248,0.0102693,-0.06071,33.7462,-19.0577,-33.9064
23.0,0,121.0,86,104,32.1875,-5.5522300000000016,7.556789999999999,2.8564700000000003,0.0384333,0.0513275,-0.0552595,34.8521,-18.6198,-33.1239
24.0,0,121.0,86,104,32.1875,-5.43431,7.44344,3.01257,0.0683849,0.0505713,0.0186399,34.3641,-18.7185,-34.0409
25.0,0,121.0,86,104,32.1875,-6.14963,6.69221,3.23532,0.0101191,4.91412e-06,-0.16842100000000002,40.0726,-12.6902,-28.0523
26.0,0,121.0,86,104,32.1875,-7.699289999999999,8.18112,2.89918,0.460717,-1.25041,0.499836,42.2888,-13.6744,-23.9827
27.0,0,121.0,86,104,32.1875,-22.0034,4.90729,6.08285,-2.91451,4.59955,-2.39614,44.4272,15.7523,-15.5041
28.0,0,121.0,86,104,32.1875,-5.35737,4.8007,0.328523,-1.45205,0.670892,0.613753,38.4762,-19.5282,10.5746
29.0,0,121.0,86,104,32.25,-12.3819,4.4675699999999985,-0.660784,1.35048,0.937196,-2.46618,29.6974,-3.53844,23.8811
30.0,0,121.0,86,104,32.1875,-8.02592,1.94676,1.29885,2.76868,-1.7288400000000002,1.88575,39.445,-5.6942900000000005,-8.93362
31.0,0,121.0,86,104,32.25,-10.7181,-1.93444,6.15951,-0.912247,0.809046,-0.381632,43.2526,10.727,-15.4713
32.0,0,121.0,86,104,32.25,-5.31224,4.0643400000000005,2.87185,2.14646,0.347564,-1.50219,58.5095,31.381,-16.0211
33.0,0,121.0,86,104,32.25,-9.37358,1.36428,2.85861,-0.526269,1.49307,-2.06748,39.2672,-12.0327,-36.8472
34.0,0,121.0,86,104,32.25,-9.93316,3.48155,1.53452,1.39099,1.82841,-2.7410400000000004,37.3383,-7.090139999999999,-37.1358
35.0,0,121.0,86,104,32.25,-9.74081,2.13587,-0.266971,-0.053100199999999986,0.0458287,-0.494486,41.5055,-1.60549,-39.146
36.0,0,121.0,86,104,32.25,-8.87123,3.57819,0.549424,-0.636674,-1.37181,2.3290900000000003,-13.9428,-40.0495,26.5531
37.0,0,121.0,86,104,32.25,-10.5646,1.25481,2.30232,-2.65396,-1.4177799999999998,2.67644,28.7793,10.1298,-22.3936
38.0,0,121.0,86,104,32.3125,-14.759,2.31957,3.12111,-0.536936,-1.6493099999999998,1.5811,30.7944,24.5437,-19.3356
39.0,0,121.0,86,104,32.3125,-10.2933,2.52379,4.41891,-0.443266,0.0602304,0.0289813,27.9808,26.6734,-28.1353
40.0,0,121.0,86,104,32.3125,-8.30456,4.98603,5.71047,1.42628,0.53635,-0.424234,38.739,28.7274,4.63842
41.0,0,121.0,86,104,32.3125,-4.42656,-1.81821,3.48227,1.29906,0.779583,1.24145,57.3022,-10.3622,3.13187
42.0,0,121.0,86,104,32.3125,-9.57442,3.53125,3.15619,-2.11612,0.922072,-0.00515378,50.1259,-25.9931,-4.89519
