id,type,time,author,author_id,re_tweeter,associated_tweet,text
1.14E+018,tweet,1560000000000,SharmaRavitha,174397248,,1.14E+018,""" shahidkapoor I am in love with kabir  Kabirsingh is superb movie where story"
1.14E+018,tweet,1560000000000,angry_rantman,9.4E+017,,1.14E+018,That's because you are sweet teddy bear guy and chicks magnet and if you behave like kabir singh all girls will run away.....!!!!
1.14E+018,tweet,1560000000000,pranaytikyani,64400211,,1.14E+018,Iâm obsessed with Bekhayali and Kaise Hua  KabirSingh
1.14E+018,tweet,1560000000000,ishaqmb,102953841,,1.14E+018,The character of Kabir needs a psychological treatment  instead it's glorified ! Wrong message to audience who are clapping as if Kabirs mental state is fun  mentalhealth shahidkapoor imvangasandeep kamaalrkhan KabirSingh kabirsinghboxoffice KabirSinghReview  MentalHealth
1.14E+018,tweet,1560000000000,BipinShukla1,379698815,,1.14E+018,Advani_Kiara You are such a beautiful.person and talented actor your simplicity says it all cant describe your beauty in words. Many congrulations on success of  KabirSingh
1.14E+018,tweet,1560000000000,ranveersbabe,2163718256,,1.14E+018,"I've been doing a bit of searching and have found so much unwarranted hate against Ranveer with people mentioning how Kabir Singh's success is revenge against Ranveer ""hijacking"" Padmaavat.This isn't even from the fans of the lead of Kabir Singh which confuses me more...."
1.14E+018,tweet,1560000000000,nirmal_chin2,164968958,,1.14E+018,This movie for Adults not for you  KabirSingh may be after 10 years you can watch it .... In the meantime please grow up.
1.14E+018,tweet,1560000000000,sadanandpms,2739548102,,1.14E+018,"""You know what"
1.14E+018,tweet,1560000000000,nirmal_chin2,164968958,,1.14E+018,But Arjun Reddy is a landmark in history and   kabirsingh is gonna do it  shahidkapoor did a fabulous job . Sach bolu tho Aathanki macha diya did  justice to the role.and  Advani_Kiara was awesome
1.14E+018,tweet,1560000000000,_Manmarziyan,103568484,,1.14E+018,"""The reason why  Kabirsingh is being criticized is out of my understanding. Itâs only a story"
1.14E+018,tweet,1560000000000,Arthwrites,119335688,,1.14E+018,Who would have thought after giving a lot of average films he would turn his image and prove all the experts wrong.Happy for  ShahidKapoor and  KabirSingh
1.14E+018,tweet,1560000000000,Bidisha_wander,4314828922,,1.14E+018,"""Lots of people across different social media platforms are posting """"Kabir Singh is mood"""".If that is mood (beware of people's mood now) and where one is willing to spend 150-300 rupees to watch such """"mood"""" movies in theatres"
1.14E+018,tweet,1560000000000,angry_rantman,9.4E+017,,1.14E+018,Jai jai reddy sandeep Reddy....!!!Kabir singh is an inspiration.... A true rebel....!!!! Obsessed to achieve his goal (girl)
1.14E+018,tweet,1560000000000,rahulp94,59414662,,1.14E+018,""" sonamohapatra Thereâs a reason Kabir Singh is reel and A rated"
1.14E+018,tweet,1560000000000,Amr1ta,72663390,,1.14E+018,"""I had major problems with  KabirSingh but I cannot deny that I was consumed by  shahidkapoor throughout every minute of the film. He was incredible as Kabir. No matter the issues"
1.14E+018,tweet,1560000000000,erripushpam05,8.5E+017,,1.14E+018,hence the title âKabir Singhâ
1.14E+018,tweet,1560000000000,avinashrishi55,148727696,,1.14E+018,"""Who said movie influences people"
1.14E+018,tweet,1560000000000,pankajapawar17,49022037,,1.14E+018,"""Honestly don't understand why such criticism got Kabir Singh and not for Arjun Reddy. It's the same god damn story"
1.14E+018,tweet,1560000000000,guru14859307,2407470120,,1.14E+018,Advani_Kiara hi how are  I went to see kabir singh  last night in london . OMG..such a wonderful  movie..u have killed it .and  shahidkapoor never seen him before soooooo good ..l can't believe  it .thank u .
1.14E+018,tweet,1560000000000,Mario94945113,9.84E+017,,1.14E+018,shahidkapoor KaBir Singh yaar dats d dubbed movie Arjun Reddy movie copied even poster too copied lol
1.14E+018,tweet,1560000000000,dna,17710740,,1.14E+018,Kabir Singh' Box Office Report day 2: Shahid Kapoor-Kiara Advani starrer stands tall despite Ind vs Afg World Cup clash
1.14E+018,tweet,1560000000000,Jaiswalprat,704749976,,1.14E+018,This had more screentime than the actress in KabirSingh pic.twitter.com/goreSwjhJo
1.14E+018,tweet,1560000000000,shekhsalman18,7.81E+017,,1.14E+018,Love you brother  shahidkapoor  u r the best  i have seen ur acting after a long bhai great pleasure to watch kabir singh pic.twitter.com/Khm1ml4lGE
1.14E+018,tweet,1560000000000,brokeandboredd,8.84E+017,,1.14E+018,Tbh I haven't seen the movie Kabir Singh but by the trailer I get what it is about. Why is everyone so angry over it and were totally okay with the show 'You' on Netflix. Movies can be made on anything they want. If it's toxic or not their choice if you don't like it don't watch
1.14E+018,tweet,1560000000000,Divyans74463916,9.76E+017,,1.14E+018,Just chilling on sunday morning with old and gold school friend.......CHILL MARO YAAR SEHAT KE LIYA ACHA HOTA HE...eek chammach subah aur eek saam kabirsingh  pvr  love  friends  schoolfriends  instagram  picâ¦  Â â¦
1.14E+018,tweet,1560000000000,AzanMriza,241084050,,1.14E+018,"""Why is  kabirSingh being tagged as misogynistic"
1.14E+018,tweet,1560000000000,nayanmaharjan3,9.51E+017,,1.14E+018,"""Liked on YouTube: Kabir Singh â Official Trailer | Shahid Kapoor"
1.14E+018,tweet,1560000000000,LifeFlip180,614206123,,1.14E+018,KabirSingh What a brilliant performance  shahidkapoor . Every frame of movie you just nailed it.   Kaira played her role very well. But the real hero of the movie is  Kabir.
1.14E+018,tweet,1560000000000,ShivMdi,190294859,,1.14E+018,I need a friend like Shiva and a maid like Kalamma. And my life will be an eternal bliss.  KabirSingh  GameOver. lifegoals
1.14E+018,tweet,1560000000000,bimlesh2591990,489688001,,1.14E+018,shahidkapoor Todays superstar-1. iamsrk2. BeingSalmanKhan3. amirkingkhanToday &Future super duperstar-1. shahidkapoor2. RanveerOfficial3.guesss????? KabirSingh  GullyBoy  3idiots  humaapkehainkaun  ddlj
1.14E+018,tweet,1560000000000,mindless_retard,493291590,,1.14E+018,Is Bollywood really celebrating Kabir Singh? Seems like the message is lost In translation Boys: point is to NOT BE like that ok?
1.14E+018,tweet,1560000000000,nehakukreti09,144114613,,1.14E+018,shahidkapoor you nailed itfantastic performance a big round of applause KabirSingh must watch film.
1.14E+018,tweet,1560000000000,getalife108,1.05E+018,,1.14E+018,"""I havnt seen godfather toosorry yaar. But i feel we needn't wait for quantification"
1.14E+018,tweet,1560000000000,samthalari,56115090,,1.14E+018,"""Iâm glad Sandeep Vanga made this remake"
1.14E+018,tweet,1560000000000,urstruIychandu,1080060080,,1.14E+018,who said there was no outrage..u should have seen our telugu news channels at that time..there was a huge outrage & debates on channels that helped movie promotions..i see no debates on kabir singh on hindi/english news channels..
