"","Id","LotArea","Street","OverallQual","RoofStyle","Foundation","Heating","CentralAir","GrLivArea","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageCars","GarageArea","PoolArea","SalePrice","SqFootage"
"2",2,9600,"Pave",6,"Gable","CBlock","GasA","Y",1262,2,0,3,1,"TA",6,1,2,460,0,181500,1262
"3",3,11250,"Pave",7,"Gable","PConc","GasA","Y",1786,2,1,3,1,"Gd",6,1,2,608,0,223500,920
"4",4,9550,"Pave",7,"Gable","BrkTil","GasA","Y",1717,1,0,3,1,"Gd",7,1,3,642,0,140000,961
"5",5,14260,"Pave",8,"Gable","PConc","GasA","Y",2198,2,1,4,1,"Gd",9,1,3,836,0,250000,1145
"7",7,10084,"Pave",8,"Gable","PConc","GasA","Y",1694,2,0,3,1,"Gd",7,1,2,636,0,307000,1694
"8",8,10382,"Pave",7,"Gable","CBlock","GasA","Y",2090,2,1,3,1,"TA",7,2,2,484,0,200000,1107
"9",9,6120,"Pave",7,"Gable","BrkTil","GasA","Y",1774,2,0,2,2,"TA",8,2,2,468,0,129900,1022
"11",11,11200,"Pave",5,"Hip","CBlock","GasA","Y",1040,1,0,3,1,"TA",5,0,1,384,0,129500,1040
"12",12,11924,"Pave",9,"Hip","PConc","GasA","Y",2324,3,0,4,1,"Ex",11,2,3,736,0,345000,1182
"13",13,12968,"Pave",5,"Hip","CBlock","GasA","Y",912,1,0,2,1,"TA",4,0,1,352,0,144000,912
"14",14,10652,"Pave",7,"Gable","PConc","GasA","Y",1494,2,0,3,1,"Gd",7,1,3,840,0,279500,1494
"16",16,6120,"Pave",7,"Gable","BrkTil","GasA","Y",854,1,0,2,1,"TA",5,0,2,576,0,132000,854
"17",17,11241,"Pave",6,"Gable","CBlock","GasA","Y",1004,1,0,2,1,"TA",5,1,2,480,0,149000,1004
"18",18,10791,"Pave",4,"Gable","Slab","GasA","Y",1296,2,0,2,2,"TA",6,0,2,516,0,90000,1296
"19",19,13695,"Pave",5,"Gable","PConc","GasA","Y",1114,1,1,3,1,"Gd",6,0,2,576,0,159000,1114
